"","mse","specificity","sensitivity","model","sample_size"
"output_model1_rep1000_n500.RData.806",0,1,1,1,500
"output_model1_rep1000_n500.RData.807",0,1,1,1,500
"output_model1_rep1000_n500.RData.808",0,1,1,1,500
"output_model1_rep1000_n500.RData.809",0,1,1,1,500
"output_model1_rep1000_n500.RData.810",0,1,1,1,500
"output_model1_rep1000_n500.RData.811",0.000322359435482694,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.812",0,1,1,1,500
"output_model1_rep1000_n500.RData.813",0.000536972664474893,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.814",0.00152390551978415,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.815",0,1,1,1,500
"output_model1_rep1000_n500.RData.816",0,1,1,1,500
"output_model1_rep1000_n500.RData.817",0,1,1,1,500
"output_model1_rep1000_n500.RData.818",0,1,1,1,500
"output_model1_rep1000_n500.RData.819",0,1,1,1,500
"output_model1_rep1000_n500.RData.820",0,1,1,1,500
"output_model1_rep1000_n500.RData.821",0,1,1,1,500
"output_model1_rep1000_n500.RData.822",0.000161406241995549,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.823",0,1,1,1,500
"output_model1_rep1000_n500.RData.824",0.0017764340409429,0.868421052631579,1,1,500
"output_model1_rep1000_n500.RData.825",0,1,1,1,500
"output_model1_rep1000_n500.RData.826",0,1,1,1,500
"output_model1_rep1000_n500.RData.827",0,1,1,1,500
"output_model1_rep1000_n500.RData.828",0.0335324507020855,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.829",0,1,1,1,500
"output_model1_rep1000_n500.RData.830",0,1,1,1,500
"output_model1_rep1000_n500.RData.831",0,1,1,1,500
"output_model1_rep1000_n500.RData.832",0,1,1,1,500
"output_model1_rep1000_n500.RData.833",0.000133272212845529,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.834",0,1,1,1,500
"output_model1_rep1000_n500.RData.835",0,1,1,1,500
"output_model1_rep1000_n500.RData.836",0,1,1,1,500
"output_model1_rep1000_n500.RData.837",0.000975696163955631,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.838",0.000677792289701949,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.839",0,1,1,1,500
"output_model1_rep1000_n500.RData.840",0,1,1,1,500
"output_model1_rep1000_n500.RData.841",0,1,1,1,500
"output_model1_rep1000_n500.RData.842",0,1,1,1,500
"output_model1_rep1000_n500.RData.843",9.87921491505145e-08,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.844",0,1,1,1,500
"output_model1_rep1000_n500.RData.845",0,1,1,1,500
"output_model1_rep1000_n500.RData.846",0,1,1,1,500
"output_model1_rep1000_n500.RData.847",0,1,1,1,500
"output_model1_rep1000_n500.RData.848",0,1,1,1,500
"output_model1_rep1000_n500.RData.849",0.00188716440509329,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.850",0,1,1,1,500
"output_model1_rep1000_n500.RData.851",0,1,1,1,500
"output_model1_rep1000_n500.RData.852",0,1,1,1,500
"output_model1_rep1000_n500.RData.853",0,1,1,1,500
"output_model1_rep1000_n500.RData.854",0,1,1,1,500
"output_model1_rep1000_n500.RData.855",0.000834180077493956,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.856",0.00183066929337329,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.857",0.00385607023783619,0.894736842105263,1,1,500
"output_model1_rep1000_n500.RData.858",0,1,1,1,500
"output_model1_rep1000_n500.RData.859",0,1,1,1,500
"output_model1_rep1000_n500.RData.860",0,1,1,1,500
"output_model1_rep1000_n500.RData.861",0.00108205137998353,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.862",0,1,1,1,500
"output_model1_rep1000_n500.RData.863",0,1,1,1,500
"output_model1_rep1000_n500.RData.864",0,1,1,1,500
"output_model1_rep1000_n500.RData.865",0,1,1,1,500
"output_model1_rep1000_n500.RData.866",5.75678109616326e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.867",0,1,1,1,500
"output_model1_rep1000_n500.RData.868",0,1,1,1,500
"output_model1_rep1000_n500.RData.869",0,1,1,1,500
"output_model1_rep1000_n500.RData.870",0,1,1,1,500
"output_model1_rep1000_n500.RData.871",0,1,1,1,500
"output_model1_rep1000_n500.RData.872",0,1,1,1,500
"output_model1_rep1000_n500.RData.873",0.000778335642669202,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.874",0.00127028320085786,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.875",0,1,1,1,500
"output_model1_rep1000_n500.RData.876",8.01510861012873e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.877",0.000603923012481848,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.878",0.00540689738233246,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.879",0.00179890155670485,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.880",0,1,1,1,500
"output_model1_rep1000_n500.RData.881",0,1,1,1,500
"output_model1_rep1000_n500.RData.882",0.00154096331793404,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.883",0.00362638824556519,0.894736842105263,1,1,500
"output_model1_rep1000_n500.RData.884",0,1,1,1,500
"output_model1_rep1000_n500.RData.885",0.000112545381098488,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.886",0.000407171017382586,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.887",0,1,1,1,500
"output_model1_rep1000_n500.RData.888",0,1,1,1,500
"output_model1_rep1000_n500.RData.889",0,1,1,1,500
"output_model1_rep1000_n500.RData.890",0,1,1,1,500
"output_model1_rep1000_n500.RData.891",0.000157617402608288,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.892",0,1,1,1,500
"output_model1_rep1000_n500.RData.893",1.08570833900718e-05,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.894",0,1,1,1,500
"output_model1_rep1000_n500.RData.895",8.66046265403665e-35,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.896",0,1,1,1,500
"output_model1_rep1000_n500.RData.897",7.82521920985655e-33,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.898",0,1,1,1,500
"output_model1_rep1000_n500.RData.899",0.000130645657900952,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.900",0,1,1,1,500
"output_model1_rep1000_n500.RData.901",0,1,1,1,500
"output_model1_rep1000_n500.RData.902",0,1,1,1,500
"output_model1_rep1000_n500.RData.903",0.00177756944509512,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.904",0,1,1,1,500
"output_model1_rep1000_n500.RData.905",0.000149545262442327,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.906",0,1,1,1,500
"output_model1_rep1000_n500.RData.907",0.000513185069211404,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.908",0.000377557656354972,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.909",0,1,1,1,500
"output_model1_rep1000_n500.RData.910",0,1,1,1,500
"output_model1_rep1000_n500.RData.911",6.30044107370316e-35,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.912",0.00347998887175159,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.913",1.12436201624139e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.914",1.08173498402654e-06,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.915",0,1,1,1,500
"output_model1_rep1000_n500.RData.916",0,1,1,1,500
"output_model1_rep1000_n500.RData.917",0.00228821829490445,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.918",1.57929529006654e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.919",0,1,1,1,500
"output_model1_rep1000_n500.RData.920",0,1,1,1,500
"output_model1_rep1000_n500.RData.921",0,1,1,1,500
"output_model1_rep1000_n500.RData.922",0,1,1,1,500
"output_model1_rep1000_n500.RData.923",0,1,1,1,500
"output_model1_rep1000_n500.RData.924",4.74562717722158e-33,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.925",0,1,1,1,500
"output_model1_rep1000_n500.RData.926",0,1,1,1,500
"output_model1_rep1000_n500.RData.927",0,1,1,1,500
"output_model1_rep1000_n500.RData.928",4.20995426531811e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.929",0,1,1,1,500
"output_model1_rep1000_n500.RData.930",0.000113695185413321,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.931",2.39300091139929e-06,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.932",0,1,1,1,500
"output_model1_rep1000_n500.RData.933",0,1,1,1,500
"output_model1_rep1000_n500.RData.934",0.000408874494079378,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.935",0,1,1,1,500
"output_model1_rep1000_n500.RData.936",0,1,1,1,500
"output_model1_rep1000_n500.RData.937",0.000312552311112318,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.938",0,1,1,1,500
"output_model1_rep1000_n500.RData.939",0,1,1,1,500
"output_model1_rep1000_n500.RData.940",0,1,1,1,500
"output_model1_rep1000_n500.RData.941",0.000965844966266887,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.942",4.24737180656264e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.943",0,1,1,1,500
"output_model1_rep1000_n500.RData.944",0,1,1,1,500
"output_model1_rep1000_n500.RData.945",1.0857708183704e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.946",0,1,1,1,500
"output_model1_rep1000_n500.RData.947",0,1,1,1,500
"output_model1_rep1000_n500.RData.948",0,1,1,1,500
"output_model1_rep1000_n500.RData.949",0.000226001817354732,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.950",0,1,1,1,500
"output_model1_rep1000_n500.RData.951",0,1,1,1,500
"output_model1_rep1000_n500.RData.952",0,1,1,1,500
"output_model1_rep1000_n500.RData.953",0,1,1,1,500
"output_model1_rep1000_n500.RData.954",0,1,1,1,500
"output_model1_rep1000_n500.RData.955",0,1,1,1,500
"output_model1_rep1000_n500.RData.956",0,1,1,1,500
"output_model1_rep1000_n500.RData.957",0,1,1,1,500
"output_model1_rep1000_n500.RData.958",3.42195799035926e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.959",0,1,1,1,500
"output_model1_rep1000_n500.RData.960",0,1,1,1,500
"output_model1_rep1000_n500.RData.961",0,1,1,1,500
"output_model1_rep1000_n500.RData.962",0.00117394317260679,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.963",0,1,1,1,500
"output_model1_rep1000_n500.RData.964",0,1,1,1,500
"output_model1_rep1000_n500.RData.965",0,1,1,1,500
"output_model1_rep1000_n500.RData.966",0,1,1,1,500
"output_model1_rep1000_n500.RData.967",0,1,1,1,500
"output_model1_rep1000_n500.RData.968",0,1,1,1,500
"output_model1_rep1000_n500.RData.969",0.0514667014465358,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.970",0,1,1,1,500
"output_model1_rep1000_n500.RData.971",0,1,1,1,500
"output_model1_rep1000_n500.RData.972",1.27799254148673e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.973",0,1,1,1,500
"output_model1_rep1000_n500.RData.974",0,1,1,1,500
"output_model1_rep1000_n500.RData.975",0,1,1,1,500
"output_model1_rep1000_n500.RData.976",0,1,1,1,500
"output_model1_rep1000_n500.RData.977",0,1,1,1,500
"output_model1_rep1000_n500.RData.978",0,1,1,1,500
"output_model1_rep1000_n500.RData.979",0,1,1,1,500
"output_model1_rep1000_n500.RData.980",0.0163622999809887,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.981",0,1,1,1,500
"output_model1_rep1000_n500.RData.982",0,1,1,1,500
"output_model1_rep1000_n500.RData.983",0,1,1,1,500
"output_model1_rep1000_n500.RData.984",0.000752676149772009,0.894736842105263,1,1,500
"output_model1_rep1000_n500.RData.985",9.52414969628459e-35,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.986",0,1,1,1,500
"output_model1_rep1000_n500.RData.987",0,1,1,1,500
"output_model1_rep1000_n500.RData.988",0.000591245754956911,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.989",0,1,1,1,500
"output_model1_rep1000_n500.RData.990",0,1,1,1,500
"output_model1_rep1000_n500.RData.991",0.000730171090826183,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.992",0,1,1,1,500
"output_model1_rep1000_n500.RData.993",0,1,1,1,500
"output_model1_rep1000_n500.RData.994",0.00345172670738934,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.995",0,1,1,1,500
"output_model1_rep1000_n500.RData.996",0,1,1,1,500
"output_model1_rep1000_n500.RData.997",0.000358151061012281,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.998",0.000567231668570435,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.999",0,1,1,1,500
"output_model1_rep1000_n500.RData.1000",0,1,1,1,500
"output_model10_rep1000_n500.RData.1",0.289070123596961,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.2",0.255526788942124,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.3",0.25465614519349,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.4",0.26175220822572,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.5",0.261361612873056,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.6",0.231515353468759,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.7",0.264172322588374,1,0.157894736842105,10,500
"output_model10_rep1000_n500.RData.8",0.250966927174353,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.9",0.251951760345675,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.10",0.269674339450028,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.11",0.263156570220269,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.12",0.270405939415321,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.13",0.258825804432998,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.14",0.249927960830144,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.15",0.244243733993679,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.16",0.269457228230897,1,0.157894736842105,10,500
"output_model10_rep1000_n500.RData.17",0.25734251557199,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.18",0.265393870848738,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.19",0.245488660130241,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.20",0.259994699398212,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.21",0.244774372945336,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.22",0.230689394871753,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.23",0.263321904607454,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.24",0.31506735322027,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.25",0.286527769263207,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.26",0.243791016117685,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.27",0.244458686598246,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.28",0.234956286738289,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.29",0.335584400201508,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.30",0.257740148119989,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.31",0.245584405798919,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.32",0.322541073092434,1,0,10,500
"output_model10_rep1000_n500.RData.33",0.265276720762114,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.34",0.275472024413279,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.35",0.218389618475759,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.36",0.257705008470442,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.37",0.255239477715207,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.38",0.247667695077888,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.39",0.265736830806072,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.40",0.229864164774026,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.41",0.286678876953442,1,0.157894736842105,10,500
"output_model10_rep1000_n500.RData.42",0.242478957163333,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.43",0.242102167336317,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.44",0.280790689698175,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.45",0.231014948043493,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.46",0.279219361390406,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.47",0.269619852989142,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.48",0.245172603505506,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.49",0.226569455839506,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.50",0.264856308805787,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.51",0.249666363340459,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.52",0.260166459751805,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.53",0.251530225346834,1,0.368421052631579,10,500
"output_model10_rep1000_n500.RData.54",0.276094640625441,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.55",0.277915551478942,1,0.131578947368421,10,500
"output_model10_rep1000_n500.RData.56",0.231863812261797,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.57",0.218323088059317,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.58",0.264352680958679,1,0.157894736842105,10,500
"output_model10_rep1000_n500.RData.59",0.263169447394398,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.60",0.230702648844895,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.61",0.244854427767172,1,0.473684210526316,10,500
"output_model10_rep1000_n500.RData.62",0.231663583383704,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.63",0.312376051973615,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.64",0.246330036640867,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.65",0.251325085489459,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.66",0.232417516928827,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.67",0.271611414550055,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.68",0.243402742394365,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.69",0.245577378587096,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.70",0.245988874476391,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.71",0.25033618247764,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.72",0.24497762570104,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.73",0.272394797338234,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.74",0.240477824150514,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.75",0.228637921704407,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.76",0.278620037829217,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.77",0.265741017397503,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.78",0.25526671148396,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.79",0.256747008114791,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.80",0.260748434015849,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.81",0.240905549490464,1,0.368421052631579,10,500
"output_model10_rep1000_n500.RData.82",0.277188243574866,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.83",0.27252644918588,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.84",0.231493111181456,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.85",0.270730167581481,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.86",0.249460811291923,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.87",0.21164815011717,1,0.368421052631579,10,500
"output_model10_rep1000_n500.RData.88",0.322541073092434,1,0,10,500
"output_model10_rep1000_n500.RData.89",0.244814713595098,1,0.368421052631579,10,500
"output_model10_rep1000_n500.RData.90",0.224318708428515,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.91",0.256209447339349,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.92",0.245140329021737,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.93",0.23512785812213,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.94",0.235949463337643,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.95",0.236487755641276,1,0.394736842105263,10,500
"output_model10_rep1000_n500.RData.96",0.240996850493179,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.97",0.206931209590672,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.98",0.263786495708221,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.99",0.269701957233127,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.100",0.250454815732332,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.101",0.263355074818405,1,0.368421052631579,10,500
"output_model10_rep1000_n500.RData.102",0.237368873138933,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.103",0.241650101142221,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.104",0.268144062702563,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.105",0.247323780860169,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.106",0.272522784140907,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.107",0.279201010107433,1,0.157894736842105,10,500
"output_model10_rep1000_n500.RData.108",0.251908639136286,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.109",0.226172520892524,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.110",0.261171845625807,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.111",0.272227573648174,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.112",0.244247339649098,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.113",0.262912406026232,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.114",0.259037319437848,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.115",0.268659068993988,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.116",0.251590368318996,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.117",0.271137559200024,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.118",0.322541073092434,1,0,10,500
"output_model10_rep1000_n500.RData.119",0.267474601786347,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.120",0.25123357785203,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.121",0.251524651393173,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.122",0.257205467459946,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.123",0.262639880902971,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.124",0.265504119806001,1,0.394736842105263,10,500
"output_model10_rep1000_n500.RData.125",0.243710594500614,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.126",0.231225296851376,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.127",0.263924863034626,1,0.368421052631579,10,500
"output_model10_rep1000_n500.RData.128",0.268616736774961,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.129",0.254724140705059,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.130",0.260305538642536,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.131",0.276018969408684,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.132",0.251338664123095,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.133",0.231239209537902,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.134",0.322541073092434,1,0,10,500
"output_model10_rep1000_n500.RData.135",0.274806000694089,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.136",0.254183942453212,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.137",0.254888485612998,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.138",0.236736621169438,1,0.368421052631579,10,500
"output_model10_rep1000_n500.RData.139",0.275443196661762,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.140",0.22332144384076,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.141",0.289190893489647,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.142",0.256894987847156,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.143",0.262531324715597,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.144",0.229743303036013,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.145",0.25436543426227,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.146",0.322541073092434,1,0,10,500
"output_model10_rep1000_n500.RData.147",0.269231420965875,1,0.157894736842105,10,500
"output_model10_rep1000_n500.RData.148",0.247196941435207,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.149",0.247604267765487,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.150",0.264489111889658,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.151",0.25825258456348,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.152",0.244660466868888,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.153",0.256709665690324,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.154",0.268535989368707,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.155",0.255803046725624,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.156",0.266675326957651,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.157",0.249885914730567,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.158",0.249138589921874,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.159",0.207949246658027,1,0.5,10,500
"output_model10_rep1000_n500.RData.160",0.248407077380477,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.161",0.247947166497929,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.162",0.322541073092434,1,0,10,500
"output_model10_rep1000_n500.RData.163",0.27214426416703,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.164",0.221983614134917,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.165",0.269687495121381,1,0.184210526315789,10,500
"output_model10_rep1000_n500.RData.166",0.240738898653161,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.167",0.279535446844853,1,0.131578947368421,10,500
"output_model10_rep1000_n500.RData.168",0.237189322841028,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.169",0.259629284237578,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.170",0.266063053039096,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.171",0.276174706123493,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.172",0.260224281528108,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.173",0.262844569406754,1,0.157894736842105,10,500
"output_model10_rep1000_n500.RData.174",0.235487339392173,1,0.289473684210526,10,500
"output_model10_rep1000_n500.RData.175",0.273176414507099,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.176",0.269094286405169,1,0.236842105263158,10,500
"output_model10_rep1000_n500.RData.177",0.263349421132197,1,0.263157894736842,10,500
"output_model10_rep1000_n500.RData.178",0.256115021593904,1,0.210526315789474,10,500
"output_model10_rep1000_n500.RData.179",0.251070655870817,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.180",0.244855150418347,1,0.315789473684211,10,500
"output_model10_rep1000_n500.RData.181",0.322541073092434,1,0,10,500
"output_model10_rep1000_n500.RData.182",0.272376481785319,1,0.342105263157895,10,500
"output_model10_rep1000_n500.RData.183",0.322541073092434,1,0,10,500
