"","mse","specificity","sensitivity","model","sample_size"
"output_model1_rep1000_n500.RData.95",0,1,1,1,500
"output_model1_rep1000_n500.RData.96",3.1030620082366e-32,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.97",0,1,1,1,500
"output_model1_rep1000_n500.RData.98",0.000937082695395773,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.99",0,1,1,1,500
"output_model1_rep1000_n500.RData.100",0,1,1,1,500
"output_model1_rep1000_n500.RData.101",0.00172503505384751,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.102",0,1,1,1,500
"output_model1_rep1000_n500.RData.103",0,1,1,1,500
"output_model1_rep1000_n500.RData.104",0,1,1,1,500
"output_model1_rep1000_n500.RData.105",0,1,1,1,500
"output_model1_rep1000_n500.RData.106",0,1,1,1,500
"output_model1_rep1000_n500.RData.107",0,1,1,1,500
"output_model1_rep1000_n500.RData.108",1.05951090673793e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.109",0.000601044540467849,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.110",0,1,1,1,500
"output_model1_rep1000_n500.RData.111",0,1,1,1,500
"output_model1_rep1000_n500.RData.112",0,1,1,1,500
"output_model1_rep1000_n500.RData.113",0.0114950566249079,0.842105263157895,1,1,500
"output_model1_rep1000_n500.RData.114",0.0051531663220195,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.115",0.0011691883886563,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.116",0,1,1,1,500
"output_model1_rep1000_n500.RData.117",0.0005100007837772,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.118",0.00436274367817574,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.119",0,1,1,1,500
"output_model1_rep1000_n500.RData.120",0.000148233898169273,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.121",8.32812296179349e-32,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.122",0,1,1,1,500
"output_model1_rep1000_n500.RData.123",0.0001678668602472,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.124",0.000861530858217391,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.125",0.00527685510891821,0.868421052631579,1,1,500
"output_model1_rep1000_n500.RData.126",0,1,1,1,500
"output_model1_rep1000_n500.RData.127",0.000251934285055889,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.128",0,1,1,1,500
"output_model1_rep1000_n500.RData.129",0.000833080078817016,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.130",0,1,1,1,500
"output_model1_rep1000_n500.RData.131",0,1,1,1,500
"output_model1_rep1000_n500.RData.132",0,1,1,1,500
"output_model1_rep1000_n500.RData.133",9.21845155045241e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.134",0,1,1,1,500
"output_model1_rep1000_n500.RData.135",0.000588783237530225,0.921052631578947,1,1,500
"output_model1_rep1000_n500.RData.136",0,1,1,1,500
"output_model1_rep1000_n500.RData.137",0,1,1,1,500
"output_model1_rep1000_n500.RData.138",0,1,1,1,500
"output_model1_rep1000_n500.RData.139",0,1,1,1,500
"output_model1_rep1000_n500.RData.140",0.00029472298522018,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.141",0.000408199353316345,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.142",0.000548323010345195,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.143",0.000306014753566427,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.144",0.0155659820895257,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.145",0,1,1,1,500
"output_model1_rep1000_n500.RData.146",1.03472961906711e-34,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.147",0,1,1,1,500
"output_model1_rep1000_n500.RData.148",0,1,1,1,500
"output_model1_rep1000_n500.RData.149",0,1,1,1,500
"output_model1_rep1000_n500.RData.150",0,1,1,1,500
"output_model1_rep1000_n500.RData.151",0,1,1,1,500
"output_model1_rep1000_n500.RData.152",0.00033054180130278,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.153",0,1,1,1,500
"output_model1_rep1000_n500.RData.154",0,1,1,1,500
"output_model1_rep1000_n500.RData.155",0,1,1,1,500
"output_model1_rep1000_n500.RData.156",0,1,1,1,500
"output_model1_rep1000_n500.RData.157",0,1,1,1,500
"output_model1_rep1000_n500.RData.158",0,1,1,1,500
"output_model1_rep1000_n500.RData.159",0,1,1,1,500
"output_model1_rep1000_n500.RData.160",0,1,1,1,500
"output_model1_rep1000_n500.RData.161",0,1,1,1,500
"output_model1_rep1000_n500.RData.162",0,1,1,1,500
"output_model1_rep1000_n500.RData.163",0.00097925299905962,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.164",1.87548236680743e-06,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.165",0,1,1,1,500
"output_model1_rep1000_n500.RData.166",0.000270780679384738,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.167",0,1,1,1,500
"output_model1_rep1000_n500.RData.168",1.37635995113642e-05,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.169",0,1,1,1,500
"output_model1_rep1000_n500.RData.170",0,1,1,1,500
"output_model1_rep1000_n500.RData.171",0.00149956268834516,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.172",0,1,1,1,500
"output_model1_rep1000_n500.RData.173",0,1,1,1,500
"output_model1_rep1000_n500.RData.174",0,1,1,1,500
"output_model1_rep1000_n500.RData.175",0,1,1,1,500
"output_model1_rep1000_n500.RData.176",0,1,1,1,500
"output_model1_rep1000_n500.RData.177",0,1,1,1,500
"output_model1_rep1000_n500.RData.178",0,1,1,1,500
"output_model1_rep1000_n500.RData.179",0,1,1,1,500
"output_model1_rep1000_n500.RData.180",0,1,1,1,500
"output_model1_rep1000_n500.RData.181",0,1,1,1,500
"output_model1_rep1000_n500.RData.182",0,1,1,1,500
"output_model1_rep1000_n500.RData.183",0,1,1,1,500
"output_model1_rep1000_n500.RData.184",0,1,1,1,500
"output_model1_rep1000_n500.RData.185",0.000655536083547481,0.947368421052632,1,1,500
"output_model1_rep1000_n500.RData.186",0,1,1,1,500
"output_model1_rep1000_n500.RData.187",0.000279336961316238,0.973684210526316,1,1,500
"output_model1_rep1000_n500.RData.188",0,1,1,1,500
"output_model1_rep1000_n500.RData.189",0.00145174371269675,0.842105263157895,1,1,500
"output_model1_rep1000_n500.RData.190",0,1,1,1,500
